chapter,nodeKind,tier,modifier,bossModifier,attempt,turns,deaths,outcome,defeated,totalEnemies,runId,playerCount,lineup
1,skirmish,skirmish,cracked-buckler,,1,5,0,won,2,2,r1,1,slayer
1,veteran,veteran,starved-caravan,,1,6,0,won,2,2,r1,1,slayer
1,veteran,veteran,shieldbreaker-line,,1,5,1,retreated,1,2,r1,1,slayer
1,veteran,veteran,rot-ward,,2,4,0,won,2,2,r1,1,slayer
1,boss,boss,,,1,11,1,wiped,5,12,r1,1,slayer
1,skirmish,skirmish,hooked-blades,,1,3,0,won,2,2,r2,1,slayer
1,skirmish,skirmish,dry-cart,,1,2,1,retreated,0,2,r2,1,slayer
1,skirmish,skirmish,hooked-blades,,2,5,0,won,2,2,r2,1,slayer
1,veteran,veteran,iron-rain-file,,1,5,0,won,2,2,r2,1,slayer
1,boss,boss,,,1,30,1,wiped,10,12,r2,1,slayer
1,skirmish,skirmish,bleeder-patrol,,1,3,0,won,2,2,r3,1,slayer
1,veteran,veteran,shieldbreaker-line,,1,2,1,retreated,0,2,r3,1,slayer
1,veteran,veteran,iron-rain-file,,2,5,0,won,2,2,r3,1,slayer
1,veteran,veteran,starved-caravan,,1,2,1,retreated,1,2,r3,1,slayer
1,veteran,veteran,iron-rain-file,,2,5,1,retreated,1,2,r3,1,slayer
1,veteran,veteran,shieldbreaker-line,,3,6,0,won,2,2,r3,1,slayer
1,boss,boss,,,1,6,1,wiped,2,12,r3,1,slayer
1,skirmish,skirmish,hooked-blades,,1,3,0,won,2,2,r4,1,slayer
1,veteran,veteran,iron-rain-file,,1,6,0,won,2,2,r4,1,slayer
1,lair,elite,pale-bell-matron,,1,3,1,retreated,0,1,r4,1,slayer
1,lair,elite,banner-of-knives,,2,3,0,won,1,1,r4,1,slayer
1,veteran,veteran,iron-rain-file,,1,6,0,won,2,2,r4,1,slayer
1,boss,boss,,,1,9,1,wiped,4,12,r4,1,slayer
1,skirmish,skirmish,bleeder-patrol,,1,4,0,won,2,2,r5,1,slayer
1,veteran,veteran,starved-caravan,,1,6,0,won,2,2,r5,1,slayer
1,veteran,veteran,starved-caravan,,1,4,0,won,2,2,r5,1,slayer
1,boss,boss,,,1,23,1,wiped,8,12,r5,1,slayer
1,skirmish,skirmish,bleeder-patrol,,1,5,0,won,2,2,r6,1,slayer
1,veteran,veteran,shieldbreaker-line,,1,5,0,won,2,2,r6,1,slayer
1,lair,elite,garrison-crusher,,1,2,1,retreated,0,1,r6,1,slayer
1,lair,elite,blackwall-captain,,2,3,1,retreated,0,1,r6,1,slayer
1,lair,elite,garrison-crusher,,3,3,0,won,1,1,r6,1,slayer
1,veteran,veteran,starved-caravan,,1,3,1,retreated,1,2,r6,1,slayer
1,veteran,veteran,shieldbreaker-line,,2,4,1,retreated,1,2,r6,1,slayer
1,veteran,veteran,shieldbreaker-line,,3,5,0,won,2,2,r6,1,slayer
1,boss,boss,,,1,14,1,wiped,6,12,r6,1,slayer
1,skirmish,skirmish,dry-cart,,1,4,0,won,2,2,r7,1,slayer
1,skirmish,skirmish,hooked-blades,,1,5,0,won,2,2,r7,1,slayer
1,lair,elite,banner-of-knives,,1,4,0,won,1,1,r7,1,slayer
1,veteran,veteran,shieldbreaker-line,,1,3,1,retreated,0,2,r7,1,slayer
1,veteran,veteran,command-fracture,,2,5,0,won,2,2,r7,1,slayer
1,boss,boss,,,1,12,1,wiped,5,12,r7,1,slayer
1,skirmish,skirmish,bleeder-patrol,,1,2,0,won,2,2,r8,1,slayer
1,veteran,veteran,starved-caravan,,1,6,0,won,2,2,r8,1,slayer
1,veteran,veteran,shieldbreaker-line,,1,5,0,won,2,2,r8,1,slayer
1,boss,boss,,,1,17,1,wiped,6,12,r8,1,slayer
1,skirmish,skirmish,wrong-relay,,1,3,0,won,2,2,r9,1,slayer
1,veteran,veteran,rot-ward,,1,5,0,won,2,2,r9,1,slayer
1,lair,elite,garrison-crusher,,1,3,1,retreated,0,1,r9,1,slayer
1,lair,elite,garrison-crusher,,2,3,0,won,1,1,r9,1,slayer
1,veteran,veteran,starved-caravan,,1,6,1,retreated,1,2,r9,1,slayer
1,veteran,veteran,command-fracture,,2,2,0,won,2,2,r9,1,slayer
1,boss,boss,,,1,22,1,wiped,8,12,r9,1,slayer
