runId,seed,playerCount,lineup,personas,result,chapterReached,actions,encountersFought,encountersWon,retreats,heroDeaths,exactKills,jesters,yields,itemsGained,lossNodeKind,lossModifier,reachedBoss1,beatCh1,reachedBoss2,deathsByPersona
r1,sim-slayer-1p-0,1,slayer,slayer,lost,1,59,5,3,1,2,4,2,2,4,boss,,1,0,0,slayer:2
r2,sim-slayer-1p-1,1,slayer,slayer,lost,1,80,5,3,1,2,9,3,1,3,boss,,1,0,0,slayer:2
r3,sim-slayer-1p-2,1,slayer,slayer,lost,1,61,7,3,3,4,6,0,2,3,boss,,1,0,0,slayer:4
r4,sim-slayer-1p-3,1,slayer,slayer,lost,1,69,6,4,1,2,3,2,1,3,boss,,1,0,0,slayer:2
r5,sim-slayer-1p-4,1,slayer,slayer,lost,1,63,4,3,0,1,9,4,1,3,boss,,1,0,0,slayer:1
r6,sim-slayer-1p-5,1,slayer,slayer,lost,1,89,9,4,4,5,5,3,4,4,boss,,1,0,0,slayer:5
r7,sim-slayer-1p-6,1,slayer,slayer,lost,1,62,6,4,1,2,4,2,2,5,boss,,1,0,0,slayer:2
r8,sim-slayer-1p-7,1,slayer,slayer,lost,1,54,4,3,0,1,4,3,0,4,boss,,1,0,0,slayer:1
r9,sim-slayer-1p-8,1,slayer,slayer,lost,1,81,7,4,2,3,4,2,4,5,boss,,1,0,0,slayer:3
r10,sim-slayer-1p-9,1,slayer,slayer,lost,1,55,5,3,1,2,3,1,3,3,boss,,1,0,0,slayer:2
r11,sim-slayer-1p-10,1,slayer,slayer,lost,1,87,6,3,2,3,5,3,5,3,boss,,1,0,0,slayer:3
r12,sim-slayer-1p-11,1,slayer,slayer,lost,1,58,6,3,2,3,6,1,2,4,boss,,1,0,0,slayer:3
r13,sim-slayer-1p-12,1,slayer,slayer,lost,1,47,4,3,0,1,5,1,1,4,boss,,1,0,0,slayer:1
r14,sim-slayer-1p-13,1,slayer,slayer,lost,1,80,7,4,2,3,10,3,2,3,boss,,1,0,0,slayer:3
r15,sim-slayer-1p-14,1,slayer,slayer,lost,1,45,5,4,0,1,4,2,0,5,boss,,1,0,0,slayer:1
r16,sim-slayer-1p-15,1,slayer,slayer,lost,1,64,5,3,1,2,6,3,1,4,boss,,1,0,0,slayer:2
r17,sim-slayer-1p-16,1,slayer,slayer,lost,1,78,7,3,3,4,3,1,1,4,boss,,1,0,0,slayer:4
r18,sim-slayer-1p-17,1,slayer,slayer,lost,1,56,6,3,2,3,4,0,1,4,boss,,1,0,0,slayer:3
r19,sim-slayer-1p-18,1,slayer,slayer,lost,1,94,9,4,4,5,8,5,3,4,boss,,1,0,0,slayer:5
r20,sim-slayer-1p-19,1,slayer,slayer,lost,1,58,6,4,1,2,6,3,1,4,boss,,1,0,0,slayer:2
r21,sim-slayer-1p-20,1,slayer,slayer,lost,1,55,5,3,1,2,5,2,0,4,boss,,1,0,0,slayer:2
r22,sim-slayer-1p-21,1,slayer,slayer,lost,1,53,4,3,0,1,6,3,1,3,boss,,1,0,0,slayer:1
r23,sim-slayer-1p-22,1,slayer,slayer,lost,1,53,6,3,2,3,4,0,4,4,boss,,1,0,0,slayer:3
r24,sim-slayer-1p-23,1,slayer,slayer,lost,1,90,8,4,3,4,6,4,4,4,boss,,1,0,0,slayer:4
r25,sim-slayer-1p-24,1,slayer,slayer,lost,1,86,6,4,1,2,6,4,3,5,boss,,1,0,0,slayer:2
r26,sim-slayer-1p-25,1,slayer,slayer,lost,1,53,4,3,0,1,8,3,2,4,boss,,1,0,0,slayer:1
r27,sim-slayer-1p-26,1,slayer,slayer,lost,1,65,5,3,1,2,2,3,1,4,boss,,1,0,0,slayer:2
r28,sim-slayer-1p-27,1,slayer,slayer,lost,1,49,5,3,1,2,2,3,3,3,boss,,1,0,0,slayer:2
r29,sim-slayer-1p-28,1,slayer,slayer,lost,1,52,5,3,1,2,6,1,0,4,boss,,1,0,0,slayer:2
