runId,playerCount,lineup,personas,classes,omitted,result,defeated,lostAtRank,lostByClass,lostByPersona,turns,exactKills,jesters,yields
b1,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,9,2,0,0
b2,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,7,2,0,0
b3,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,5,1,0,2
b4,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,5,1,0,1
b5,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,5,0,0,0
b6,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,6,1,0,1
b7,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,10,3,0,2
b8,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,6,1,0,1
b9,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,10,2,0,2
b10,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,12,2,0,0
b11,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,9,2,0,1
b12,1,slayer,slayer,executioner,,lost,1,J,executioner,slayer,4,0,0,0
b13,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,10,2,0,0
b14,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,6,2,0,1
b15,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,9,3,0,0
b16,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,6,3,0,1
b17,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,7,4,0,0
b18,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,12,1,0,1
b19,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,10,3,0,1
b20,1,slayer,slayer,executioner,,lost,6,Q,executioner,slayer,14,3,0,0
b21,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,9,3,0,1
b22,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,6,1,0,0
b23,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,8,1,0,1
b24,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,12,3,0,0
b25,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,9,2,0,1
b26,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,5,2,0,0
b27,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,6,2,0,1
b28,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,9,2,0,1
b29,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,10,2,0,0
b30,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,8,3,0,0
b31,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,6,2,0,2
b32,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,11,3,0,1
b33,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,13,2,0,0
b34,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,7,0,0,1
b35,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,14,3,0,1
b36,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,11,3,0,1
b37,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,13,1,0,0
b38,1,slayer,slayer,executioner,,lost,6,Q,executioner,slayer,13,3,0,0
b39,1,slayer,slayer,executioner,,lost,1,J,executioner,slayer,5,0,0,0
b40,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,6,0,0,0
b41,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,13,3,0,2
b42,1,slayer,slayer,executioner,,lost,3,J,executioner,slayer,8,2,0,1
b43,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,10,3,0,0
b44,1,slayer,slayer,executioner,,lost,1,J,executioner,slayer,5,0,0,2
b45,1,slayer,slayer,executioner,,lost,6,Q,executioner,slayer,15,1,0,0
b46,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,8,4,0,0
b47,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,10,1,0,0
b48,1,slayer,slayer,executioner,,lost,5,Q,executioner,slayer,12,3,0,0
b49,1,slayer,slayer,executioner,,lost,2,J,executioner,slayer,5,1,0,2
b50,1,slayer,slayer,executioner,,lost,4,Q,executioner,slayer,7,3,0,0
b51,1,bulwark,bulwark,sentinel,,lost,2,J,sentinel,bulwark,6,1,0,1
b52,1,bulwark,bulwark,sentinel,,lost,5,Q,sentinel,bulwark,14,2,0,0
b53,1,bulwark,bulwark,sentinel,,lost,3,J,sentinel,bulwark,7,3,0,0
b54,1,bulwark,bulwark,sentinel,,lost,3,J,sentinel,bulwark,11,0,0,2
b55,1,bulwark,bulwark,sentinel,,lost,6,Q,sentinel,bulwark,19,2,0,1
b56,1,bulwark,bulwark,sentinel,,lost,3,J,sentinel,bulwark,8,2,0,0
b57,1,bulwark,bulwark,sentinel,,lost,1,J,sentinel,bulwark,5,0,0,1
b58,1,bulwark,bulwark,sentinel,,lost,4,Q,sentinel,bulwark,11,1,0,1
b59,1,bulwark,bulwark,sentinel,,lost,3,J,sentinel,bulwark,8,2,0,1
b60,1,bulwark,bulwark,sentinel,,lost,4,Q,sentinel,bulwark,10,2,0,1
