runId,playerCount,lineup,personas,classes,omitted,result,defeated,lostAtRank,lostByClass,lostByPersona,turns,exactKills,jesters,yields
b1,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,executioner,slayer,14,2,0,1
b2,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,executioner,slayer,11,5,0,0
b3,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,3,J,executioner,slayer,6,3,0,0
b4,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,14,4,0,0
b5,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,quartermaster,slayer,12,2,0,0
b6,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,7,Q,quartermaster,slayer,17,3,0,0
b7,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,surgeon,slayer,13,2,0,0
b8,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,7,Q,quartermaster,slayer,18,3,1,1
b9,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,executioner,slayer,11,4,1,0
b10,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,15,4,1,0
b11,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,surgeon,slayer,9,2,0,0
b12,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,8,K,executioner,slayer,19,4,1,1
b13,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,14,2,0,0
b14,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,19,2,1,4
b15,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,surgeon,slayer,13,2,1,1
b16,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,11,6,0,0
b17,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,7,Q,surgeon,slayer,21,1,1,2
b18,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,executioner,slayer,15,3,0,0
b19,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,surgeon,slayer,13,0,0,0
b20,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,quartermaster,slayer,12,2,0,1
b21,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,18,4,1,2
b22,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,executioner,slayer,14,2,0,0
b23,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,quartermaster,slayer,12,2,1,1
b24,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,8,K,quartermaster,slayer,20,3,1,0
b25,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,executioner,slayer,10,1,0,1
b26,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,7,Q,quartermaster,slayer,17,4,0,0
b27,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,surgeon,slayer,9,2,0,0
b28,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,7,Q,surgeon,slayer,18,3,0,0
b29,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,surgeon,slayer,12,2,0,1
b30,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,3,J,quartermaster,slayer,7,2,0,0
b31,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,executioner,slayer,7,3,1,0
b32,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,quartermaster,slayer,13,2,1,0
b33,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,stalled,8,,,,1989,4,1,1965
b34,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,executioner,slayer,14,3,1,1
b35,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,3,J,surgeon,slayer,8,1,0,1
b36,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,surgeon,slayer,15,3,1,2
b37,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,7,Q,quartermaster,slayer,20,3,1,1
b38,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,8,K,quartermaster,slayer,21,1,0,1
b39,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,3,J,executioner,slayer,10,2,1,3
b40,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,17,4,1,0
b41,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,surgeon,slayer,9,1,0,0
b42,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,quartermaster,slayer,11,3,1,1
b43,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,executioner,slayer,15,2,1,0
b44,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,2,J,surgeon,slayer,4,2,0,0
b45,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,3,J,surgeon,slayer,5,3,0,0
b46,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,surgeon,slayer,13,2,0,0
b47,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,quartermaster,slayer,12,3,0,0
b48,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,quartermaster,slayer,18,3,1,0
b49,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,4,Q,surgeon,slayer,9,3,1,0
b50,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,6,Q,surgeon,slayer,14,2,0,0
b51,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,10,K,surgeon,slayer,28,6,1,2
b52,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,won,12,,,,34,4,1,0
b53,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,5,Q,executioner,slayer,11,3,0,0
b54,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,7,Q,surgeon,slayer,18,2,0,0
b55,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,11,K,executioner,slayer,29,6,1,0
b56,3,slayer,slayer+slayer+slayer,quartermaster+surgeon+executioner,sentinel,lost,11,K,quartermaster,slayer,35,2,2,0
