runId,playerCount,lineup,personas,classes,omitted,result,defeated,lostAtRank,lostByClass,lostByPersona,turns,exactKills,jesters,yields
b1,1,slayer,slayer,,,lost,4,Q,,slayer,8,2,0,0
b2,1,slayer,slayer,,,lost,3,J,,slayer,7,1,0,1
b3,1,slayer,slayer,,,lost,2,J,,slayer,8,0,0,2
b4,1,slayer,slayer,,,lost,3,J,,slayer,9,1,0,0
b5,1,slayer,slayer,,,lost,2,J,,slayer,8,1,0,1
b6,1,slayer,slayer,,,lost,4,Q,,slayer,12,2,0,2
b7,1,slayer,slayer,,,lost,4,Q,,slayer,11,1,0,0
b8,1,slayer,slayer,,,lost,3,J,,slayer,10,1,0,2
b9,1,slayer,slayer,,,lost,1,J,,slayer,4,1,0,0
b10,1,slayer,slayer,,,lost,4,Q,,slayer,9,2,0,0
b11,1,slayer,slayer,,,lost,4,Q,,slayer,13,3,0,1
b12,1,slayer,slayer,,,lost,3,J,,slayer,5,3,0,0
b13,1,slayer,slayer,,,lost,1,J,,slayer,5,0,0,1
b14,1,slayer,slayer,,,lost,3,J,,slayer,8,0,0,0
b15,1,slayer,slayer,,,lost,2,J,,slayer,7,0,0,2
b16,1,slayer,slayer,,,lost,1,J,,slayer,5,0,0,1
b17,1,slayer,slayer,,,lost,2,J,,slayer,5,1,0,1
b18,1,slayer,slayer,,,lost,1,J,,slayer,3,1,0,0
b19,1,slayer,slayer,,,lost,4,Q,,slayer,8,2,0,0
b20,1,slayer,slayer,,,lost,2,J,,slayer,6,1,0,0
b21,1,slayer,slayer,,,lost,1,J,,slayer,4,1,0,1
b22,1,slayer,slayer,,,lost,4,Q,,slayer,12,0,0,0
b23,1,slayer,slayer,,,lost,4,Q,,slayer,9,2,0,0
b24,1,slayer,slayer,,,lost,4,Q,,slayer,12,0,0,2
b25,1,slayer,slayer,,,lost,1,J,,slayer,5,1,0,1
b26,1,slayer,slayer,,,lost,1,J,,slayer,5,0,0,1
b27,1,slayer,slayer,,,lost,1,J,,slayer,4,1,0,0
b28,1,slayer,slayer,,,lost,5,Q,,slayer,12,2,0,0
b29,1,slayer,slayer,,,lost,1,J,,slayer,5,0,0,2
b30,1,slayer,slayer,,,lost,1,J,,slayer,5,0,0,0
b31,1,slayer,slayer,,,lost,3,J,,slayer,8,2,0,2
b32,1,slayer,slayer,,,lost,4,Q,,slayer,11,2,0,0
b33,1,slayer,slayer,,,lost,2,J,,slayer,7,1,0,1
b34,1,slayer,slayer,,,lost,1,J,,slayer,5,0,0,2
b35,1,slayer,slayer,,,lost,4,Q,,slayer,9,2,0,0
b36,1,slayer,slayer,,,lost,2,J,,slayer,7,0,0,1
b37,1,slayer,slayer,,,lost,2,J,,slayer,5,1,0,0
b38,1,slayer,slayer,,,lost,3,J,,slayer,11,0,0,1
b39,1,slayer,slayer,,,lost,2,J,,slayer,5,1,0,1
b40,1,slayer,slayer,,,lost,3,J,,slayer,8,3,0,1
b41,1,slayer,slayer,,,lost,2,J,,slayer,5,2,0,1
b42,1,slayer,slayer,,,lost,2,J,,slayer,6,1,0,1
b43,1,slayer,slayer,,,lost,1,J,,slayer,4,1,0,0
b44,1,slayer,slayer,,,lost,4,Q,,slayer,8,1,0,0
b45,1,slayer,slayer,,,lost,2,J,,slayer,8,0,0,2
b46,1,slayer,slayer,,,lost,4,Q,,slayer,10,2,0,0
b47,1,slayer,slayer,,,lost,3,J,,slayer,8,1,0,0
b48,1,slayer,slayer,,,lost,3,J,,slayer,8,1,0,0
b49,1,slayer,slayer,,,lost,1,J,,slayer,5,1,0,2
b50,1,slayer,slayer,,,lost,4,Q,,slayer,10,2,0,1
b51,1,bulwark,bulwark,,,lost,4,Q,,bulwark,12,0,0,1
b52,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,1,0,1
b53,1,bulwark,bulwark,,,lost,4,Q,,bulwark,11,2,0,1
b54,1,bulwark,bulwark,,,lost,4,Q,,bulwark,11,1,0,2
b55,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,0,0,0
b56,1,bulwark,bulwark,,,lost,5,Q,,bulwark,14,2,0,1
b57,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,1,0,0
b58,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,1,0,0
b59,1,bulwark,bulwark,,,lost,6,Q,,bulwark,17,1,0,0
b60,1,bulwark,bulwark,,,lost,4,Q,,bulwark,15,1,0,1
b61,1,bulwark,bulwark,,,lost,4,Q,,bulwark,11,2,0,1
b62,1,bulwark,bulwark,,,lost,2,J,,bulwark,8,1,0,1
b63,1,bulwark,bulwark,,,lost,5,Q,,bulwark,14,2,0,0
b64,1,bulwark,bulwark,,,lost,2,J,,bulwark,4,2,0,1
b65,1,bulwark,bulwark,,,lost,3,J,,bulwark,6,3,0,1
b66,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,2,0,0
b67,1,bulwark,bulwark,,,lost,4,Q,,bulwark,13,1,0,0
b68,1,bulwark,bulwark,,,lost,3,J,,bulwark,8,1,0,2
b69,1,bulwark,bulwark,,,lost,3,J,,bulwark,6,2,0,1
b70,1,bulwark,bulwark,,,lost,5,Q,,bulwark,16,0,0,1
b71,1,bulwark,bulwark,,,lost,3,J,,bulwark,10,1,0,1
b72,1,bulwark,bulwark,,,lost,3,J,,bulwark,7,2,0,0
b73,1,bulwark,bulwark,,,lost,4,Q,,bulwark,11,1,0,2
b74,1,bulwark,bulwark,,,lost,1,J,,bulwark,6,0,0,2
b75,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,0,0,1
b76,1,bulwark,bulwark,,,lost,5,Q,,bulwark,17,0,0,1
b77,1,bulwark,bulwark,,,lost,1,J,,bulwark,4,1,0,0
b78,1,bulwark,bulwark,,,lost,4,Q,,bulwark,13,0,0,1
b79,1,bulwark,bulwark,,,lost,5,Q,,bulwark,15,1,0,1
b80,1,bulwark,bulwark,,,lost,3,J,,bulwark,8,2,0,1
b81,1,bulwark,bulwark,,,lost,4,Q,,bulwark,11,2,0,1
b82,1,bulwark,bulwark,,,lost,1,J,,bulwark,5,1,0,1
b83,1,bulwark,bulwark,,,lost,2,J,,bulwark,5,2,0,1
b84,1,bulwark,bulwark,,,lost,4,Q,,bulwark,10,2,0,0
b85,1,bulwark,bulwark,,,lost,4,Q,,bulwark,10,1,0,0
b86,1,bulwark,bulwark,,,lost,4,Q,,bulwark,9,2,0,0
b87,1,bulwark,bulwark,,,lost,3,J,,bulwark,7,1,0,1
b88,1,bulwark,bulwark,,,lost,3,J,,bulwark,7,1,0,0
b89,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,1,0,2
b90,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,1,0,1
b91,1,bulwark,bulwark,,,lost,3,J,,bulwark,10,1,0,2
b92,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,0,0,1
b93,1,bulwark,bulwark,,,lost,4,Q,,bulwark,13,0,0,0
b94,1,bulwark,bulwark,,,lost,3,J,,bulwark,8,0,0,0
b95,1,bulwark,bulwark,,,lost,4,Q,,bulwark,13,1,0,0
b96,1,bulwark,bulwark,,,lost,5,Q,,bulwark,14,1,0,0
b97,1,bulwark,bulwark,,,lost,3,J,,bulwark,9,1,0,1
b98,1,bulwark,bulwark,,,lost,2,J,,bulwark,6,1,0,1
b99,1,bulwark,bulwark,,,lost,5,Q,,bulwark,15,1,0,0
b100,1,bulwark,bulwark,,,lost,6,Q,,bulwark,19,1,0,1
b101,1,hoarder,hoarder,,,lost,3,J,,hoarder,8,2,0,1
b102,1,hoarder,hoarder,,,lost,2,J,,hoarder,6,1,0,2
b103,1,hoarder,hoarder,,,lost,3,J,,hoarder,8,2,0,1
b104,1,hoarder,hoarder,,,lost,6,Q,,hoarder,17,2,0,1
b105,1,hoarder,hoarder,,,lost,3,J,,hoarder,8,2,0,2
b106,1,hoarder,hoarder,,,lost,2,J,,hoarder,6,0,0,1
b107,1,hoarder,hoarder,,,lost,4,Q,,hoarder,11,2,0,2
b108,1,hoarder,hoarder,,,lost,4,Q,,hoarder,11,1,0,1
b109,1,hoarder,hoarder,,,lost,2,J,,hoarder,6,0,0,0
b110,1,hoarder,hoarder,,,lost,2,J,,hoarder,10,2,0,4
b111,1,hoarder,hoarder,,,lost,5,Q,,hoarder,14,2,0,2
b112,1,hoarder,hoarder,,,lost,1,J,,hoarder,4,1,0,1
b113,1,hoarder,hoarder,,,lost,2,J,,hoarder,5,1,0,2
b114,1,hoarder,hoarder,,,lost,4,Q,,hoarder,12,1,0,1
b115,1,hoarder,hoarder,,,lost,2,J,,hoarder,6,2,0,2
b116,1,hoarder,hoarder,,,lost,1,J,,hoarder,5,0,0,2
b117,1,hoarder,hoarder,,,lost,5,Q,,hoarder,13,5,0,1
b118,1,hoarder,hoarder,,,lost,1,J,,hoarder,5,1,0,1
b119,1,hoarder,hoarder,,,lost,2,J,,hoarder,6,1,0,1
b120,1,hoarder,hoarder,,,lost,1,J,,hoarder,4,0,0,0
b121,1,hoarder,hoarder,,,lost,4,Q,,hoarder,10,3,0,1
b122,1,hoarder,hoarder,,,lost,4,Q,,hoarder,12,2,0,2
